,link,title,content,location,loc,point,latitude,longitude,jalan,kec,kabkot,prov,date,day,month,time,age,truck,car,motorcycle,bicycle,train,bus,die,injured
123,https://news.detik.com/berita-jawa-timur/d-5234836/truk-boks-terguling-di-tol-sidoarjo-gegara-pecah-ban,Truk Boks Terguling di Tol Sidoarjo Gegara Pecah Ban,"Sidoarjo - Truk boks Isuzu bermuatan minyak goreng terguling di Tol Sidoarjo KM 757.600 , arah Porong-Sidoarjo . Muatan tumpah di jalan . Berdasarkan informasi yang dihimpun , kecelakaan tunggal itu terjadi pada sekitar pukul 11.20 WIB . Truk boks bernopol N 8209 TL itu dikemudikan oleh Pipin Edyanti ( 32 ) , warga Jakan Sopilamat Belor , Kembang Belor , Pacet , Mojokerto . Kemudian pengemudi tidak bisa mengendalikan kendaraannya . Akibatnya , kendaraan tersebut terguling . `` Karena pecah ban , truk boks ini terguling . Dalam musibah ini tidak ada korban jiwa . Hanya mengakibatkan muatan minyak goreng tumpah di jalan tol , '' kata Roni saat dihubungi detikcom , Jumat ( 30/10/2020 ) . Petugas mengevakuasi muatan yang tumpah di jalan . `` Selain melakukan pengaturan lalin , kami sempat mengerahkan anggota untuk mempercepat evakuasi . Agar tidak terjadi kepadatan yang terlalu lama , '' pungkas Roni .",tol sidoarjo km 757.600 porong-sidoarjo,"Sidoarjo, Jalan Tol Surabaya–Porong, Jati, Sidoarjo, Jawa Timur, 61228, Indonesia","(-7.4464849, 112.6972305)",-7.4464849,112.6972305,Sidoarjo Jalan Tol Surabaya–Porong,Jati,Sidoarjo,Jawa Timur,2020-10-30,Friday,October,pagi,[32],1,0,0,0,0,0,0,0
3539,https://radarbromo.jawapos.com/pasuruan/29/10/2020/berangkat-kerja-warga-sumberdawesari-grati-tewas-tertabrak-truk,"Berangkat Kerja, Warga Sumberdawesari Grati Tewas Tertabrak Truk","REJOSO , Radar Bromo Kecelakaan di jalur Pantura Pasuruan Kembali terjadi . Kali ini yang bernasib nahas adalah Viarda Reza Novitania , 19 . Perempuan asal Desa Sumberdawesari , Kecamatan Grati , Kabupaten Pasuruan itu mengalami kecelakaan lalu lintas . Akibatnya , dia tewas dalam insiden yang terjadi Kamis ( 29/10 ) pagi di Jalan raya Grati . Kanit Laka Polres Pasuruan Kota , Ipda Indah Ramadhani menguraikan , kecelakaan itu terjadi sekitar pukul 07.45 . Korban mengalami kecelakaan saat dalam perjalanan berangkat kerja . Viarda mengendarai motor Yamaha Mio dengan nopol N 6549 XS dari arah timur ke barat . Sesampainya di lokasi korban diduga hendak mendahului kendaraan yang di depannya dari sisi kanan , terangnya . Bersamaan itu , ada truk kontainer yang melaju dari arah berlawanan . Truk dengan nopol N 9215 UR itu dikemudikan oleh Sulianto , 47 , warga kecamatan Kademangan , Probolinggo . Jarak antara motor yang dikendarai korban dengan truk itu sudah cukup dekat . Sehingga tak ada ruang Sulianto untuk menghindar . Tabrakan dua kendaraan pun terjadi . Motor korban membentur bumper ujung kanan truk . Viarda terjatuh ke kanan . Sesaat kemudian tubuhnya terseret ban truk yang tak lama kemudian berhentiKetika itu , tubuh korban banyak luka . Dia terluka pada dagu , leher , paha kanan , punggung , perut , dan patah tulang lengan kanan . Petugas kepolisian lalu melarikannya ke RSUD dr R Soedarsono . Namun tak berapa lama , korban meregang nyawa . Sementara itu , motor yang dikendarai korban ringsek . Kerusakan terjadi pada dek depan serta bodi motor . Kerugian material akibat kerusakan motor ditafsirkan sekitar Rp 500 ribu . Polisi sudah mengamankan motor itu sebagai barang bukti . Sekarang kami masih melakukan penyelidikan lebih lanjut atas kejadian laka ini , tutur Indah .",jalur pantura pasuruan,"Jalan Raya Raci, Gerongan, Pasuruan, Jawa Timur, 67153, Indonesia","(-7.6097675, 112.8353586)",-7.6097675,112.8353586,Jalan Raya Raci,Gerongan,Pasuruan,Jawa Timur,2020-10-29,Thursday,October,pagi,"[19, 47]",1,0,1,0,0,0,1,1
877,https://radarbromo.jawapos.com/probolinggo/28/10/2020/sopirnya-ngantuk-pikap-tabrak-truk-di-leces-sampai-ringsek,"Sopirnya Ngantuk, Pikap Tabrak Truk di Leces Sampai Ringsek","Kecelakaan di Jalan raya Leces kembali terjadi LECES , Radar Bromo Insiden kecelakaan kembali terjadi di Jalan raya Leces . Rabu ( 28/10 ) pagi , kecelakaan dialami oleh sebuah mobil pikap dan truk di Tigasan . Kecelakaan ini terjadi lantaran sopir mengantuk . Untungnya tidak sampai ada korban jiwa dalam kejadian ini . Informasi yang diperoleh , kecelakaan terjadi sekitar pukul 04.30 . Sebelumnya , sebuah mobil pikap bernopol P 9772 AC , melaju dari selatan ke utara . Pengemudi mobil pikap ialah Rian Budiono , 25 , asal Denpasar , Bali . Semula pikap yang dikendarai Rian Budiomo melaju mulus . Namun tiba-tiba saat melintas di TKP , diduga konsentrasi menurun ( ngantuk , Red ) . Hingga kemudian kendaran ini berjalan kekanan keluar jalur . Sehingga kontra dengan truk colt diesel nopol P 9858 UE yang berjalan dari utara ke selatan , ujar Kanitlaka Satlantas Polres Probolinggo , Iptu Nyoman Harayasa . Adapun pengemudi truk colt diesel bernopol P 9858 UE ialah M Jamil . Sopir truk ini juga sama-sama berasal dari Denpasar , Bali . Akibat kejadian terebut , salah satu koran mengalami luka ringan . Sehingga harus dilarikan puskesmas terdekat . Untuk pengendara pikap dilarikan ke Puskesmas Terdekat . Yakni Puskesmas Leces , ujarnya . Dengan adanya kejadian tersebut Nyoman meminta kepada para pengendara maupun pengemudi agar tetap waspada dalam berkendara . Ditambah sebelum melakukan perjalanan jauh , usahakan segala persiapan harus lengkap . Termasuk pengecekan kendaraan . Jika memeng dirasa lelah dan tidak dapat melanjutkan perjalanan , lebih baik berhenti . Hal itu agar mengantisipasi terjadinya lakalantas , ujarnya .",jalan raya leces jalan raya leces,"Leces, 25, Leces, Probolinggo, Jawa Timur, 67273, Indonesia","(-7.8477836, 113.2290946)",-7.8477836,113.2290946,Leces 25,Leces,Probolinggo,Jawa Timur,2020-10-28,Wednesday,October,pagi,[25],1,1,0,0,0,0,0,1
130,https://news.detik.com/berita-jawa-timur/d-5229157/pindah-lajur-berujung-kecelakaan-truk-di-tol-sidoarjo-satu-orang-tewas,"Pindah Lajur Berujung Kecelakaan Truk di Tol Sidoarjo, Satu Orang Tewas","Sidoarjo - Sebuah truk menabrak truk yang pindah lajur di KM 758.400 arah Sidoarjo-Porong . Akibat kecelakaan tersebut , salah seorang pengemudi tewas . Kecelakaan terjadi pada sekitar pukul 10.05 WIB . Kanit Laka Satlantas Polresta Sidoarjo AKP Sugeng Sulistiyono mengatakan , kendaraan yang terlibat kecelakaan yakni truk Mitsubishi warna kuning dengan nopol M 9035 UV . Truk tersebut dikemudikan Sugianto ( 41 ) , warga Desa Kertasada , Kalianget , Sumenep . `` Dengan truk Hino tronton warna merah beropol L 8125 AA , yang dikemudikan Toartono ( 67 ) , warga Ngagelrejo Utara , Ngagelrejo , Surabaya , '' kata Sugeng saat dihubungi detikcom , Senin ( 26/10/2020 ) . Sehingga truk warna kuning langsung menabrak bagian belakang truk tronton . `` Akibat kecelakaan tersebut , sopir truk Mitsubishi warna kuning tergencet bodi truknya . Sehingga meninggal dunia di lokasi , '' tambah Sugeng . `` Korban yang meninggal dunia dibawa ke Rumah Sakit Umum Sidoarjo . Sedangkan kendaraan yang terlihat dibawa ke pool derek satelit , '' pungkas Sugeng .",km 758.400 sidoarjo-porong,"Porong, Sidoarjo, Jawa Timur, 61272, Indonesia","(-7.53058075, 112.69915812799618)",-7.53058075,112.69915812799618,,Porong,Sidoarjo,Jawa Timur,2020-10-26,Monday,October,pagi,"[41, 67]",1,0,0,0,0,0,1,0
3785,https://radargresik.jawapos.com/pojok-perkoro/28/10/2020/karyawan-wilmar-tewas-dilindas-truk,Karyawan Wilmar Tewas Dilindas Truk,"GRESIK Kecekaan kembali terjadi di jalur pantura kali dialami Umar Buang,51 . Karyawan PT Wilmar terlibat insiden kecelakaan maut dengan truk di Jalan Raya Desa Manyarrejo , Kecamatan Manyar , Senin ( 26/10 ) petang . Ia tewas di tempat kejadian perkara ( TKP ) . Kanitlaka Satlantas Polres Gresik Yossy menerangkan , insiden maut itu terjadi sekitar jam 16.00 WIB . Saat itu korban yang merupakan warga Desa Masangan RT 6 RW 3 Kecamatan Bungah mengendarai sepeda Honda Supra W 4090 CS berkendara di bahu jalan sebelah selatan . Ia melaju dari arah timur ke barat . Saat tiba di TKP , korban berusaha naik ke badan jalan . Namun , motornya tergelincir dan korban tidak mampu menguasai setir hingga terjatuh ke kanan , ujarnya . Nahas , saat bersamaan melaju satu unit truk tidak dikenal dari arah belakang korban . Tubuh korban tertabrak bagian kiri depan truk . Akibat kecelakaan tersebut , korban meregang nyawa di lokasi . Sedangkan truk tidak dikenal melanjutkan perjalanan , pungkasnya .",jalur pantura,"Jembatan Jalan Raya Pantura, Banyuglugur, Situbondo, Jawa Timur, Indonesia","(-7.7252739, 113.6117971)",-7.7252739,113.6117971,Jembatan Jalan Raya Pantura,Banyuglugur,Situbondo,Jawa Timur,2020-10-26,Monday,October,malam,,1,0,1,1,0,0,1,0
881,https://radarbromo.jawapos.com/pandaan/26/10/2020/ngantuk-pemotor-asal-sidoarjo-tabrak-taman-bambu-runcing-pandaan,"Ngantuk, Pemotor asal Sidoarjo Tabrak Taman Bambu Runcing Pandaan    ","PANDAAN , Radar Bromo-Perjalanan Sutrisno , 63 , ke rumah saudaranya di Prigen , Minggu malam ( 25/10 ) berujung tragedi . Pria asal Desa Gempol Klutuk , Kecamatan Tarik , Kabupaten Sidoarjo ini mengalami kecelakaan tunggal di tikungan jalan raya Kasri , depan Mapolsek Pandaan , Kelurahan Patungasri , Kecamatan Pandaan . Informasi yang dihimpun , kecelakaan itu terjadi sekitar pukul 21.15 malam . Motor Honda Supra X bernopol W 5259 PL yang dikendarai korban seorang diri , menabrak taman Bambu Runcing yang ada di pinggir jalan , seberang Mapolsek Pandaan . Motornya berjalan dari arah utara ke selatan , melaju dengan kecepatan sedang . Sesampainya di lokasi , saat mau belok ke kanan atau arah barat , tidak bisa menguasai laju kendaraannya . Sehingga , menabrak taman Bambu Runcing , jelas Kanit Lantas Polsek Pandaan Iptu Gatot Subroto . Akibat kecelakaan tersebut , korban jatuh ke badan jalan dan tidak sadarkan diri . Oleh petugas yang tiba di lokasi , korban langsung dievakuasi ke IGD RS Prima Husada di Lemahbang , Sukorejo . Korban pengendara motor didapati luka terbuka pada kaki kiri , dan memar pada kepala bagian dahinya . Motor korban sendiri lantas diamankan di Poslantas Polsek Pandaan . Korban pengendara motornya saat kejadian diduga mengantuk . Posisinya berada di pihak kurang menguntungkan , katanya .",prigen,"Prigen, Pasuruan, Jawa Timur, Indonesia","(-7.6967582, 112.6326839)",-7.6967582,112.6326839,,Prigen,Pasuruan,Jawa Timur,2020-10-25,Sunday,October,malam,[63],0,0,1,0,0,0,0,1
3695,https://radarsidoarjo.jawapos.com/kriminal-delta/26/10/2020/gagal-nyalip-akibatkan-tiga-pemotor-tewas-di-porong,"Gagal Nyalip, Akibatkan Tiga Pemotor Tewas di Porong","SIDOARJO Kecelakaan melibatkan dua motor terjadi di Jalan Raya Lajuk , Porong , Sabtu malam ( 24/10 ) . Akibatnya , kecelakaan tersebut menyebabkan tiga orang tewas . Peristiwa bermula saat notor Honda Scoopy nopol W 2145 WB berjalan dari arah timur ke barat . Kendaraan tersebut dikendarai oleh Samsudi Hermanto , 55 , warga Desa Kedungboto RT 09/RW 03 , Kecamatan Porong . Kendaraan tersebut berusaha mendahului kendaraan yang ada di depannya , kata Kanit Laka Lantas Polresta Sidoarjo AKP Sugeng Sulistiyono . Namun saat hendak mendahului kendaraan yang ada di depannya , motor tersebut lalu terlibat kecelakaan dengan motor Honda CBR nopol W2677 UX . CBR Dikendarai oleh Choirul Mustaqim 20 , warga Dusun Padokaton RT 09 RW 05 Desa Dukuhsari , Kecamatan Jabon . Akibatnya , dua orang pengemudi kendaraan tersebut tewas . Tak hanya itu , Lilik Herawati , 47 , yang dibonceng oleh pengendara Scoopy , juga tewas . Lilik adalah istri Samsudi Hermanto , pengendara Scoopy . Ketiga korban kemudian dibawa ke rumah sakit . Korban dibawa ke RS Bhayangkara Pusdik Gasum Porong guna dilakukan visum , kata petugas Unit Lantas Polsek Porong , Aipda Teguh Eko Wahono . Peristiwa tersebut terjadi sekitar pukul 20.30 dan saat ini kasus tersebut tengah ditangai unit Laka lantas Polresta Sidoarjo . Sementara dua unit motor yang terlibat kecelakaan itu diamankan di Mapolsek Porong .",jalan raya lajuk porong,"Lajuk, Porong, Sidoarjo, Jawa Timur, 61272, Indonesia","(-7.5217471, 112.6668544)",-7.5217471,112.6668544,Lajuk,Porong,Sidoarjo,Jawa Timur,2020-10-24,Saturday,October,malam,"[55, 20, 47]",0,0,1,0,0,0,3,0
134,https://news.detik.com/berita-jawa-timur/d-5225467/niat-nyalip-bus-di-bojonegoro-malah-tabrak-truk-hingga-terguling,"Niat Nyalip, Bus di Bojonegoro Malah Tabrak Truk hingga Terguling","Bojonegoro - Bus , truk Fuso dan truk tangki terlibat kecelakaan di Jalan Raya Babat-Bojonegoro . Empat orang luka-luka dalam kecelakaan tersebut . Kecelakaan tepatnya terjadi di Desa Gunungsari , Kecamatan Boureno , Bojonegoro pagi tadi . Menurut beberapa saksi mata , kecelakaan berawal saat Bus Rajawali Indah melaju dari arah Bojonegoro menuju Babat . Bus tersebut bernopol S 7742 UA yang dikemudikan oleh Rofik . Di lokasi kejadian , bus itu berusaha menyalip truk Fuso bernopol K 1325 PE yang dikemudikan Suwarno . Karena sudah sangat dekat posisinya , dan kondisi jalan yang licin habis hujan , kecelakaan tak dapat dihindari . Bus yang tabrakan dengan truk tangki mencoba membanting setir ke kiri . Namun malah kembali menabrak truk Fuso hingga terguling di tengah jalan . Muatan karung berisi tembakau berserakan di jalan raya . Usai menabrak truk Fuso , laju bus belum terkendali . Hingga akhirnya menabrak pagar rumah warga . `` Bus Rajawali ini dari barat tadi saya lihat , nyalip truk . Saat nyalip ada tangki dari timur . Langsung bruaak . Bis ini masih jalan , oleng ke kiri , ke kanan nabrak lagi truk Fuso , terus mancep di pagar rumah itu , '' tutur Warga Gunungsari , Yudi kepada detikcom , Jumat ( 23/10/2020 ) . Empat orang luka-luka dalam kecelakaan tersebut . Di antaranya sopir bus dan penumpangnya . Selain mengakibatkan korban luka , bus tersebut juga ringsek di bagian depan . Anggota polantas masih di lapangan untuk membantu evakuasi kendaraan dan olah TKP . `` Masih proses evakuasi dan ada empat orang luka di antaranya sopir bis . Jadi kalau kronologi awal bus mau nyalip tapi ada truk tangki dari arah berlawanan , '' pungkasnya .",jalan raya babat-bojonegoro,"Jalan Raya Babat - Kabuh, Banaran, Lamongan, Jawa Timur, Indonesia","(-7.1298792, 112.1626734)",-7.1298792,112.1626734,Jalan Raya Babat - Kabuh,Banaran,Lamongan,Jawa Timur,2020-10-23,Friday,October,pagi,,1,0,0,0,0,1,0,4
136,https://news.detik.com/berita-jawa-timur/d-5225306/jalan-zig-zag-sebuah-mobil-di-banyuwangi-tabrak-tiga-pemotor,"Jalan Zig-zag, Sebuah Mobil di Banyuwangi Tabrak Tiga Pemotor","Banyuwangi - Pengendara mobil Honda Jazz menabrak 3 pemotor di Banyuwangi . Pengendara nyaris dimassa dan beruntung polisi mengamankan sopir dan pengemudi mobil . Kecelakaan terjadi di Jalan Raya Rogojampi , pukul 21.30 WIB , Kamis ( 22/10/2020 ) malam . tidak ada korban jiwa dalam insiden ini . Pengendara nyaris dimassa . Beruntung polisi mengamankan pengendara Honda Jazz itu . `` Sudah kita amankan ( sopir dan penumpang Jazz ) masih kita lakukan pemeriksaan saat ini , '' ujar Iptu Ardhi Bita Kumala , Kanit Laka Satlantas Polresta Banyuwangi kepada detikcom , Jumat ( 23/10/2020 ) . `` Ada dua orang mengalami luka . Sudah ditangani oleh tim medis dari rumah sakit terdekat , '' tandasnya . Menurut keterangan saksi , mobil Honda Jazz bernopol P 1778 GT berjalan zig-zag dari arah selatan Banyuwangi ke utara atau kota . Tiba-tiba pengemudi tidak mengetahui ada pengayuh becak di depannya . Untuk menghindari pengayuh becak , mobil warna merah itu oleng ke kanan menabrak Honda BeAT warna merah putih nopol P 6511 XZ . Kemudian Mobil Jazz tetap melaju dan menabrak beberapa kendaraan yang terparkir . Di antaranya Honda BeAT warna hitam nopol P 5404 UP , Pengendara Yamaha Vega nopol S 3124 XA dan sebuah mobil Xenia . `` Sejak dari Masjid Rogojampi kendaraan itu oleng terus . Sempat mau menabrak becak , tapi kemudian menabrak kendaraan lain . Sudah menabrak malah tidak berhenti malah tancap gas , '' ujar Rochman , salah satu saksi mata . Kendaraan berhenti diduga karena mengalami kebocoran di radiatornya . Massa kemudian sempat akan menghakimi sopir . Karena pengendara tak mau keluar , massa kemudian merusak kendaraan tersebut . `` Sopir Jazz itu masih ada di dalam . Sama warga mau dipukuli karena tidak mau keluar , '' tambahnya . Beruntung , polisi langsung datang ke lokasi kejadian . Pengendara Honda Jazz , MHF ( 26 ) warga Desa Gontor , Kecamatan Mlarak , Kabupaten Ponorogo dan penumpang END ( 28 ) warga desa Karangbendo , Kecamatan Blimbingsari , Banyuwangi langsung dievakuasi polisi .",banyuwangi,"Banyuwangi, Jawa Timur, Indonesia","(-8.2094973, 114.3737201)",-8.2094973,114.3737201,,,Banyuwangi,Jawa Timur,2020-10-22,Thursday,October,malam,"[26, 28]",0,1,0,1,0,0,0,2
886,https://radarbromo.jawapos.com/utama/20/10/2020/pikap-tabrak-barrier-butiran-telur-berserakan-di-tol-gempol-pasuruan,"Pikap Tabrak Barrier, Butiran Telur Berserakan di Tol Gempol-Pasuruan","BEJI , Radar Bromo Rencana Erwin Azizi Romas , warga Timpala , Manado , untuk mengantar telur ke Surabaya berujung celaka . Pikap yang dikemudikannya oleng , hingga menabrak beton barrier di tepi jalan . Insiden itu memang tak sampai memicu korban jiwa . Karena , pengemudi pikap , dan kernetnya , Afrizal , warga Surabaya , hanya mengalami luka ringan . Namun begitu , rencana mereka untuk mengantar butiran telur ke Surabaya harus dibatalkan . Karena , selain telur-telur yang dibawa pecah dan berceceran dijalan , pikap yang dikemudikan keduanya pun ringsek . Insiden nahas itu , menimpa keduanya Selasa ( 20/10 ) pagi . Ceritanya berawal , saat keduanya hendak mengantar butiran telur ke Surabaya . Mereka mengendarai mobil pikap nopol L 9782 BV dari arah Jember . Keduanya melaju ke Surabaya dengan melewati jalan tol Pasuruan-Gempol . Semula , perjalan mereka berlangsung lancar . Tidak ada kendala berarti , hingga keduanya sampai di jalan tol Sidowayah , Kecamatan Beji . Ketika itu , Erwin diserang kantuk berat . Diduga , ia tidak mampu menahan kantuknya . Akibatnya , celaka itu pun tak bisa dicegah . Kejadiannya berlangsung sekitar pukul 07.15 , ungkap Kanit 3 PJR Polda Jatim , IPTU Imam S.R . Menurut Imam , semula kendaraan pikap muatan telur tersebut melaju di lajur lambat dengan kecepatan tinggi . Namun , diduga tak mampu menahan kantuk , pengemudi pikap hilang konsentrasi . Kendaraan telur itu pun oleng ke lajur cepat . Menyadari hal itu , pengemudi pikap banting setir ke kiri dengan maksud kembali ke lajur lambat . Namun , upaya tersebut malah memicu celaka . Laju pikap menjadi tak terkendali hignga menabrak beton barrier pembatas bahu jalan .",jalan tol sidowayah kecamatan beji,"Jalan Tol Gempol–Pasuruan, Sidowayah, Pasuruan, Jawa Timur, 67153, Indonesia","(-7.607021, 112.7518111)",-7.607021,112.7518111,Jalan Tol Gempol–Pasuruan,Sidowayah,Pasuruan,Jawa Timur,2020-10-20,Tuesday,October,pagi,,0,1,0,0,0,0,0,1
147,https://news.detik.com/berita-jawa-timur/d-5220019/gegara-pengemudi-hilang-konsentrasi-mobil-ini-nangkring-di-pembatas-jalan,"Gegara Pengemudi Hilang Konsentrasi, Mobil Ini Nangkring di Pembatas Jalan","Surabaya - Sebuah mobil Nissan double cabin warna putih nopol L 9410 RF selip dan menabrak pagar pembatas jalan di Jalan Urip Sumoharjo . Tak ada korban dalam peristiwa itu . Informasi dihimpun , mobil itu dikendarai Prabasworo Prabowo ( 32 ) warga Dharmawangsa Dalam . Saat itu mobil melaju dari arah Jalan Pandegiling menuju ke arah Urip Sumoharjo dan menabrak pagar sekitar pukul 16.45 WIB . Kanit Laka Polrestabes Surabaya AKP Faqih mengatakan dugaan kecelakaan tersebut karena pengemudi saat itu tidak konsentrasi . Terlebih lagi kondisi jalan yang saat itu gerimis sehingga jalan menjadi licin . `` Dugaan tidak konsentrasi sehingga selip terjadi laka lantas tunggal menabrak pagar pembatas , '' ujar Faqih kepada detikcom , Senin ( 19/10/2020 ) . Sebab badan mobil sempat nangkring di atas pembatas jalan . Mobil sendiri langsung diderek dan dievakuasi untuk selanjutnya dibawa ke kantor polisi bersama pengemudinya . Sedangkan sejumlah petugas dari Pemkot Surabaya langsung membersihkan pagar dan pot tanaman yang rusak usai ditabrak . `` Langsung dievakuasi mobilnya dan dibawa ke Lantas Polrestabes agar tidak menyebabkan kemacetan . Apalagi ini waktu padat-padatnya lalin , '' tandas Kabid Angkutan Dishub Surabaya Tunjung Iswandaru .",jalan urip sumoharjo,"Urip Sumoharjo, Jalan Urip Sumoharjo, RW 01, Keputran, Tegalsari, Surabaya, Jawa Timur, 60271, Indonesia","(-7.2748524, 112.7418979)",-7.2748524,112.7418979,Urip Sumoharjo Jalan Urip Sumoharjo RW 01 Keputran,Tegalsari,Surabaya,Jawa Timur,2020-10-19,Monday,October,sore,[32],0,1,0,0,0,0,0,0
150,https://news.detik.com/berita-jawa-timur/d-5218112/truk-dan-pikap-tabrakan-hingga-terbakar-di-bojonegoro-5-orang-terluka,"Truk dan Pikap Tabrakan hingga Terbakar di Bojonegoro, 5 Orang Terluka","Bojonegoro - Truk boks , pikap dan motor terlibat kecelakaan . Peristiwa terjadi di Jalur Bojonegoro-Nganjuk , tepatnya di Desa Kunci , Kecamatan Dander sekitar pukul 04.30 WIB . Kecelakaan mengakibatkan lima orang terluka dan harus dilarikan ke Rumah Sakit Wahyu Tetuko Bojonegoro . Yakni sopir truk bernopol AA 1659 RB , Ananta Sakti , kernet Tri Sutrisno , sopir pikap bernopol AG 9371 PC , Yogi Toriq dengan satu penumpangnya Uuk Yusuf dan pengendara motor bernopol L 3206 DT , Yuwan Sutoko . Para korban mengalami luka-luka akibat benturan keras antara truk boks dan pikap L300 yang mengakibatkan mobil bak tersebut terbakar hebat . Truk ringsek pada bagian kanan dan boksnya . Motor juga mengalami kerusakan . Sementara kobaran api pada mobil L300 semakin membesar . Satlantas Polres Bojonegoro akhirnya meminta bantuan satu unit truk Damkar dari Pos Temayang untuk memadamkan kobaran api tersebut . Kanit laka lantas Satlantas Polres Bojonegoro , Iptu Luluk , yang ada di lokasi mengatakan , dalam olah TKP terungkap kronologi kecelakaan tersebut . Sopir truk boks mengantuk dan berjalan oleng ke kanan hingga melewati marka jalan . Dari arah berlawanan muncul L300 . Tabrakan tak dapat dihindarkan . `` Dugaan awal karena ngantuk sopir truk boks . Terus jalan malah ke kanan . Dari depan ada L300 dan motor di belakangnya , tabrakan akhirnya . Tadi sempat terbakar yang L300 mungkin karena gesekan yang cukup keras timbul percikan api , '' jelas Iptu Luluk , Minggu ( 18/10/2020 ) . Seluruh kendaraan saat ini telah dievakuasi ke kantor unit laka . Sementara korban masih dalam perawatan medis .",jalur bojonegoro-nganjuk desa kunci kecamatan dander,"mushola smpn 1 dander, Jalan Raya Nganjuk - Bojonegoro, Sumberarum, Bojonegoro, Jawa Timur, 62171, Indonesia","(-7.2652339, 111.86607671035475)",-7.2652339,111.86607671035476,mushola smpn 1 dander Jalan Raya Nganjuk - Bojonegoro,Sumberarum,Bojonegoro,Jawa Timur,2020-10-18,Sunday,October,pagi,,1,1,1,0,0,0,0,5
149,https://news.detik.com/berita-jawa-timur/d-5218163/3-motor-kecelakaan-di-sidoarjo-2-pengendara-tewas,"3 Motor Kecelakaan di Sidoarjo, 2 Pengendara Tewas","Sidoarjo - Tiga sepeda motor terlibat kecelakaan di Sidoarjo hingga dua pengendara tewas . Informasi yang dihimpun , kecelakaan terjadi sekitar pukul 03.15 WIB di Jalan A Yani . Tepatnya di depan Pasmar Gedangan Sidoarjo . Korban yang tewas merupakan pengendara sepeda motor Honda GL bernopol L 2166 QQ . Yakni Adam Arya Wijaya ( 21 ) , warga Dupak Jaya , Kelurahan Jepara , Kota Surabaya . Yang satu lagi yakni Alfredo ( 21 ) warga Kranggan Bubutan , Kecamatan Bubutan , Kota Surabaya . Ia mengendarai Honda GL bernopol L 2064 JN . Dua di antaranya meninggal dunia di lokasi . `` Kecelakaan itu berawal dari serempetan sesama pengendara sepeda motor . Dua pengendara motor yang meninggal luka di bagian kepala , '' kata Sugeng , Minggu ( 18/10/2020 ) . Mereka yakni Mudjib Riduwan ( 50 ) dan Kusmeti Ariani ( 50 ) . Keduanya warga Surabaya juga . `` Kecelakaan diakibatkan karena pengendera sepeda motor tersebut kurang kehati-hatian mereka . Semua korban laka dibawa ke RSUD Sidoarjo , '' pungkas Sugeng .",sidoarjo,"Sidoarjo, Jawa Timur, Indonesia","(-7.4559622, 112.66022171549456)",-7.4559622,112.66022171549456,,,Sidoarjo,Jawa Timur,2020-10-18,Sunday,October,pagi,"[21, 21, 50, 50]",0,0,1,0,0,0,2,2
582,https://jatimnow.com/baca-30643-putra-sulung-amien-rais-luka-berat-akibat-kecelakaan-di-jalan-tol,Putra Sulung Amien Rais Luka Berat Akibat Kecelakaan di Jalan Tol,"jatimnow.com - Kabid Humas Polda Jawa Barat , Kombes Pol Erdi A Chaniago mengatakan putra sulung Amien Rais , Ahmad Hanafi Rais , mengalami luka berat akibat insiden kecelakaan di ruas Jalan Tol Cikopo-Palimanan ( Cipali ) Kilometer 112 , Kabupaten Subang , Minggu ( 18/10/2020 ) . `` Luka berat satu orang , atas nama Ahmad Hanafi Rais , alamat Kecamatan Kota Gede , Kota Yogyakarta , '' kata Erdi di Bandung . Erdi belum menyampaikan apa luka berat yang diderita Hanafi Rais usai kecelakaan . Namun ia memastikan Hanafi langsung dilarikan ke Rumah Sakit MH Thamrin , Kabupaten Purwakarta . Selain Hanafi , Erdi menyampaikan seorang sopir bernama Ferdian Yudha Pratama yang mengemudikan mobil yang ditumpangi Hanafi Rais mengalami luka ringan . Kecelakaan itu terjadi pada Minggu dinihari pukul 02.20 Wib . Kendaraan berjenis Toyota Alphard berwarna putih yang ditumpangi Hanafi Rais itu mengalami kecelakaan diduga akibat ditabrak dari arah belakang oleh kendaraan yang tak dikenal . Akibat tabrakan itu , mobil Hanafi terpental hingga menabrak kendaraan pengangkut alat berat yang ada di depan . Kap depan serta kaca mobil Hanafi mengalai kerusakan yang cukup parah . `` Kendaraan yang menabrak dan yang ditabrak malah melarikan diri . Akibat kecelakaan ini Hanafi Rais dan sopirnya terluka , '' tambah Erdi . Erdi menyatakan bahwa kepolisian masih memburu mobil yang diduga menyebabkan Hanafi Rais dan sopirnya mengalami kecelakaan . Lihat Artikel AsliDisclaimer : Berita ini merupakan kerja sama jatimnow.com dengan Republika.co.id . Hal yang terkait dengan tulisan , foto , grafis , video , dan keseluruhan isi berita menjadi tanggung jawab Republika.co.id",bandung,"Bandung, Mojokerto, Jawa Timur, Indonesia","(-7.4419024, 112.3956465)",-7.4419024,112.3956465,,Bandung,Mojokerto,Jawa Timur,2020-10-18,Sunday,October,pagi,,0,1,0,0,0,0,0,1
